Tijdstempel;Do you give consent to use your data?;How humanlike did the chatbot feel? (Do not fill in this question);How experienced did the chatbot feel when providing you with information?  (Do not fill in this question);How polite was the chatbot when communicating with you?  (Do not fill in this question);How responsive was the chatbot to your input?  (Do not fill in this question);How engaging was the system?;How trustworthy did the chatbot feel when providing results?  (Do not fill in this question);How easy-to-use was the chatbot?  (Do not fill in this question);I felt a sense of human contact with the chatbot  (Do not fill in this question);I felt a sense of personality coming from the chatbot. (Do not fill in this question);I felt a sense of empathy for the chatbot. (Do not fill in this question);I felt a sense of safety with the chatbot. (Do not fill in this question);I read all questions above;Paste the line shown at the end of the conversation (depicting your dialog settings and results);Did you successfully complete task 1?;Paste the line shown at the end of the conversation (depicting your dialog settings and results)_1;Did you successfully complete task 2?;Paste the line shown at the end of the conversation (depicting your dialog settings and results)_2;Did you successfully complete task 3?;How humanlike did the chatbot's responses feel?;How experienced did the chatbot feel when providing you with information?;How polite was the chatbot when communicating with you?;How responsive was the chatbot to your input?;How engaging was the chatbot to interact with?;How trustworthy did the chatbot feel when providing results?  (Do not fill in this question)_3;How easy-to-use was the chatbot?;I felt a sense of human contact with the chatbot.;I felt a sense of personality coming from the chatbot.;I felt a sense of empathy for the chatbot.;I felt a sense of safety with the chatbot.;Paste the line shown at the end of the conversation (depicting your dialog settings and results)_4;Did you successfully complete task 1?_5;Paste the line shown at the end of the conversation (depicting your dialog settings and results)_6;Did you successfully complete task 2?_7;Paste the line shown at the end of the conversation (depicting your dialog settings and results)_8;Did you successfully complete task 3?_9;How humanlike did the chatbot's responses feel?_10;How experienced did the chatbot feel when providing you with information?_11;How polite was the chatbot when communicating with you?_12;How responsive was the chatbot to your input?_13;How engaging was the chatbot to interact with?_14;How trustworthy did the chatbot feel when providing results?  (Do not fill in this question)_15;How easy-to-use was the chatbot?_16;I felt a sense of human contact with the chatbot._17;I felt a sense of personality coming from the chatbot._18;I felt a sense of empathy for the chatbot._19;I felt a sense of safety with the chatbot._20;Which system felt more human-like?;Which system was more trustworthy?;Which system had more expertise?;Which system was easier to use?;Do you have any additional remarks?;What is your gender?;What is your age? (answer in numbers, i.e. 22);What is your occupation? If you're a student, continue to the next question;If you're a student, what do you study?;Who is the experimenter?;What system did the participant start with?;Any additional notes?;Column1;_21;_22;_23
2023/10/21 4:23:52 p.m. EEST;I accept;1;2;4;1;2;1;2;2;2;2;1;Yes;System: A       Turns: 14       Time: 1014 seconds;No;;the bot did not say, do you have additional requirements;;No;1;2;4;1;2;1;2;2;2;2;1;System: B       Turns: 8        Time: 283 seconds;No;;No;;No;3;1;4;1;2;1;4;2;1;4;1;4;3;3;3;The chatbot just gave me random answers, and when you same something random it says that there are no restaurants;Male;22;Student;Electrical engineering;Matt;System without delay;I think it didnt work as it should have;System: B       Turns: 8        Time: 283 seconds;System: B       Turns: 8        Time: 283 seconds;System: A       Turns: 14       Time: 1014 seconds;System: A       Turns: 14       Time: 1014 seconds
2023/10/21 5:09:32 p.m. EEST;I accept;;;;;;;;;;;;Yes;System: B       Turns: 8        Time: 80 seconds;Yes;;Yes;;Yes;3;4;5;4;4;4;4;3;2;2;2;System: A       Turns: 7        Time: 84 seconds;Yes;;No;;Yes;3;4;5;4;4;3;4;2;1;1;3;1;3;3;3;;Male;24;;;Matt;System with delay;;System: A       Turns: 7        Time: 84 seconds;System: A       Turns: 7        Time: 84 seconds;System: B       Turns: 8        Time: 80 seconds;System: B       Turns: 8        Time: 80 seconds
2023/10/22 8:19:27 p.m. EEST;I accept;;;;;;;;;;;;Yes;System: A       Turns: 10       Time: 149 seconds;Yes;;Yes;;Yes;1;2;4;3;3;3;2;1;2;1;2;System: B       Turns: 11       Time: 185 seconds;Yes;;Yes;;No;3;2;3;2;3;2;3;3;2;1;1;4;3;2;3;;Female;21;;Law;Matt;System without delay;;;;;
2023/10/22 8:47:05 p.m. EEST;I accept;;;;;;;;;;;;Yes;System: B       Turns: 9        Time: 284 seconds;Yes;;No;;No;3;2;4;2;4;5;3;2;3;3;3;System: A       Turns: 10       Time: 225 seconds;Yes;;No;;Yes;2;3;4;3;4;3;3;1;3;3;3;1;3;2;3;;Female;24;;veterinary medicine;Matt;System with delay;;;;;
2023/10/22 9:20:41 p.m. EEST;I accept;;;;;;;;;;;;Yes;Thank you for using the UU restaurant system. Goodbye!  System: B: Turns: 9 Time: 396.0406048297882;The chatbot did not correctly interpret my initial requests but asked for additional requirements after suggesting an expensive Chinese restaurant.;;Yes;;Yes;2;2;4;2;1;2;3;2;1;1;1;Chatbot: Thank you for using the UU restaurant system. Goodbye!  System: A: Turns: 8 Time: 243.54906678199768;Yes;;Yes;;Yes;2;2;4;2;2;2;3;1;2;1;1;4;3;3;4;;Female;24;;Social Policy and Public Health;Efraim;System without delay;;;;;
2023/10/22 10:13:12 p.m. EEST;I accept;;;;;;;;;;;;Yes;System: A       Turns: 16       Time: 348 seconds;Yes;;No;;Yes;2;1;3;1;3;2;3;2;1;2;3;System: B       Turns: 8        Time: 163 seconds;Yes;;Yes;;Yes;4;3;3;3;4;4;2;3;4;4;4;4;3;4;4;I'm sorry i did not understand your request. Can you provide specific information you are looking for such as phone number, area or address?;Male;25;Lecturer at a University of Applied Sciences;;Matt;System without delay;;;;;
2023/10/22 10:45:40 p.m. EEST;I accept;;;;;;;;;;;;Yes;System: B       Turns: 13       Time: 409 seconds;Yes;;Yes;;Yes;4;3;4;4;4;3;4;3;4;3;2;System: A       Turns: 6        Time: 93 seconds;No;;No;;No;1;2;2;2;2;2;2;2;1;1;1;1;1;1;1;;Female;19;student;biomedical sciences;Matt;System with delay;;;;;
2023/10/23 3:37:57 p.m. EEST;I accept;3;4;4;5;4;3;4;4;4;3;3;Yes;System: B       Turns: 16       Time: 211 seconds;Yes;;Yes;;Yes;4;3;4;3;3;4;4;4;4;2;3;System: A       Turns: 10       Time: 124 seconds;Yes;;Yes;;Yes;4;4;4;4;3;4;4;3;3;2;3;3;2;2;3;Didn't notice that that big of a difference tbh;Male;22;Student;AI;Juul;System with delay;The questions about system 1 were filled in in the questionnaire for observation. the questions about system 2 were filled in in the questionnaire for system 1 and in the questionnaire for system 2.;;;;
2023/10/23 4:34:58 p.m. EEST;I accept;;;;;;;;;;;;Yes;task1: System: A       Turns: 6        Time: 425 seconds. Task 2: System: A       Turns: 7        Time: 59 seconds.  Task 3: System: A       Turns: 7        Time: 144 seconds;Yes;;Yes;;Yes;5;4;4;4;4;4;3;4;2;2;3;System: B       Turns: 10       Time: 166 seconds;Yes;;Yes;;Yes;5;4;5;3;4;4;4;4;4;2;4;4;2;2;2;knowing its a chatbot, id rather not have forced-human exclamations coming from it. i know it is a machine!;Male;23;;AI;Efraim;System without delay;;;;;
2023/10/23 5:05:59 p.m. EEST;I accept;4;5;4;3;4;5;5;4;3;1;1;Yes;"System: B       Turns: 6        Time: 200 seconds;  System: B       Turns: 4        Time: 57 seconds; System: A       Turns: 6        Time: 162 seconds;";Yes;;Yes;;Yes;5;4;3;4;4;4;4;2;1;1;1;System: A       Turns: 8        Time: 382 seconds,  System: A       Turns: 6        Time: 162 seconds, System: A       Turns: 6        Time: 126 seconds;Yes;;Yes;;Yes;4;4;3;4;3;3;4;1;1;1;1;3;3;3;3;;Male;30;Engineer;;Efraim;System with delay;No qualitative data on first ;;;;
